Time, Delta, Delat Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:22:52.380765,1.823988,2019-05-08 13:22:52.380765,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.382759,1.825982,2019-05-08 13:22:52.382759,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.386752,1.829975,2019-05-08 13:22:52.386752,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.388743,1.831966,2019-05-08 13:22:52.388743,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.389741,1.832964,2019-05-08 13:22:52.389741,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.392733,1.835956,2019-05-08 13:22:52.392733,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.396726,1.839949,2019-05-08 13:22:52.396726,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.398718,1.841941,2019-05-08 13:22:52.398718,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.400711,1.843934,2019-05-08 13:22:52.400711,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.401709,1.844932,2019-05-08 13:22:52.401709,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.402706,1.845929,2019-05-08 13:22:52.402706,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.406698,1.849921,2019-05-08 13:22:52.406698,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.409688,1.852911,2019-05-08 13:22:52.409688,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.410686,1.853909,2019-05-08 13:22:52.410686,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.411683,1.854906,2019-05-08 13:22:52.411683,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.415672,1.858895,2019-05-08 13:22:52.415672,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.417668,1.860891,2019-05-08 13:22:52.417668,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.419663,1.862886,2019-05-08 13:22:52.419663,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.420659,1.863882,2019-05-08 13:22:52.420659,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.421657,1.86488,2019-05-08 13:22:52.421657,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.422654,1.865877,2019-05-08 13:22:52.422654,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.428638,1.871861,2019-05-08 13:22:52.428638,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.431637,1.87486,2019-05-08 13:22:52.431637,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.433625,1.876848,2019-05-08 13:22:52.433625,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.438611,1.881834,2019-05-08 13:22:52.438611,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.440605,1.883828,2019-05-08 13:22:52.440605,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.442601,1.885824,2019-05-08 13:22:52.442601,0,b,0,('0.0.0.0', 11000),()
