Time, Delta, Dela Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:25:08.472442,4.62279,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.473440,4.623788,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.477429,4.627777,0.003989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.479424,4.629772,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.480421,4.630769,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.482415,4.632763,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.483413,4.633761,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.487405,4.637753,0.003992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.489397,4.639745,0.001992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.490394,4.640742,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.493388,4.643736,0.002994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.495383,4.645731,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.499371,4.649719,0.003988,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.500368,4.650716,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.502363,4.652711,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.503360,4.653708,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.504357,4.654705,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.505355,4.655703,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.511340,4.661688,0.005985,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.512336,4.662684,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.513333,4.663681,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.514331,4.664679,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.515328,4.665676,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.517323,4.667671,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.518320,4.668668,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.522311,4.672659,0.003991,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.523307,4.673655,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.526300,4.676648,0.002993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.528293,4.678641,0.001993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.532284,4.682632,0.003991,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.534279,4.684627,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.535276,4.685624,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.536272,4.68662,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.538268,4.688616,0.001996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.539266,4.689614,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.543254,4.693602,0.003988,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.544252,4.6946,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.546246,4.696594,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.547243,4.697591,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.548240,4.698588,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.549238,4.699586,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.553227,4.703575,0.003989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.555222,4.70557,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.556219,4.706567,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.559212,4.70956,0.002993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.560209,4.710557,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.561206,4.711554,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.565196,4.715544,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.568189,4.718537,0.002993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.570183,4.720531,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.572178,4.722526,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.577165,4.727513,0.004987,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.578161,4.728509,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.579160,4.729508,0.000999,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.581155,4.731503,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.583147,4.733495,0.001992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.588135,4.738483,0.004988,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.590129,4.740477,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.593122,4.74347,0.002993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.596114,4.746462,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.599106,4.749454,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.601101,4.751449,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.603096,4.753444,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.607085,4.757433,0.003989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.609080,4.759428,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.611074,4.761422,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.613069,4.763417,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.614066,4.764414,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.618056,4.768404,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.620050,4.770398,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.622045,4.772393,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.625037,4.775385,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.630023,4.780371,0.004986,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.632018,4.782366,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.634012,4.78436,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.638003,4.788351,0.003991,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.639997,4.790345,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.642989,4.793337,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.644984,4.795332,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.648974,4.799322,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.651966,4.802314,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.653959,4.804307,0.001993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.657950,4.808298,0.003991,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.660941,4.811289,0.002991,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.662936,4.813284,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.664933,4.815281,0.001997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.668920,4.819268,0.003987,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.670915,4.821263,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.673907,4.824255,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.676899,4.827247,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.680889,4.831237,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.682883,4.833231,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.684878,4.835226,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.688867,4.839215,0.003989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.691860,4.842208,0.002993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.693854,4.844202,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.695849,4.846197,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.699838,4.850186,0.003989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.701833,4.852181,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.703827,4.854175,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:08.705822,4.85617,0.001995,0,b,0,('0.0.0.0', 11000),()
