Time, Delta, Dela Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:26:17.616237,1.583608,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.617226,1.584597,0.000989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.617226,1.584597,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.617226,1.584597,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.618221,1.585592,0.000995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.618221,1.585592,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.618221,1.585592,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.619217,1.586588,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.619217,1.586588,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.620216,1.587587,0.000999,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.620216,1.587587,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.620216,1.587587,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.621213,1.588584,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.621213,1.588584,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.622209,1.58958,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.622209,1.58958,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.623206,1.590577,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.623206,1.590577,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.623206,1.590577,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.623206,1.590577,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.624202,1.591573,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.624202,1.591573,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.625208,1.592579,0.001006,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.630188,1.597559,0.00498,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.630188,1.597559,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.631185,1.598556,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.631185,1.598556,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.631185,1.598556,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.632181,1.599552,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.632181,1.599552,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.632181,1.599552,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.632181,1.599552,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.633178,1.600549,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.633178,1.600549,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.633178,1.600549,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.633178,1.600549,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.634176,1.601547,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.634176,1.601547,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.634176,1.601547,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.634176,1.601547,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.635174,1.602545,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.635174,1.602545,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.635174,1.602545,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.636172,1.603543,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.636172,1.603543,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.636172,1.603543,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.637169,1.60454,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.637169,1.60454,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.637169,1.60454,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.637169,1.60454,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.640161,1.607532,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.640161,1.607532,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.641161,1.608532,0.001,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.641161,1.608532,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.643171,1.610542,0.00201,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.644151,1.611522,0.00098,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.644151,1.611522,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.645148,1.612519,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.645148,1.612519,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.646145,1.613516,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.646145,1.613516,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.646145,1.613516,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.646145,1.613516,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.647142,1.614513,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.647142,1.614513,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.647142,1.614513,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.647142,1.614513,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.650134,1.617505,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.650134,1.617505,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.650134,1.617505,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.651132,1.618503,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.651132,1.618503,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.651132,1.618503,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.651132,1.618503,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.652129,1.6195,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.652129,1.6195,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.652129,1.6195,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.652129,1.6195,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.653127,1.620498,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.653127,1.620498,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.653127,1.620498,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.653127,1.620498,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.654124,1.621495,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.654124,1.621495,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.654124,1.621495,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.654124,1.621495,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.655120,1.622491,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.655120,1.622491,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.655120,1.622491,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.655120,1.622491,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.656118,1.623489,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.656118,1.623489,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.656118,1.623489,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.657115,1.624486,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.657115,1.624486,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.657115,1.624486,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.662103,1.629474,0.004988,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:17.662103,1.629474,0.0,0,b,0,('0.0.0.0', 11000),()
