Time,Delta,"IP Address",Port,"Data Id","Data Type","Data Count",Data
"2020-01-19 20:53:32.957069",0.953543,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:33.956466",1.95294,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:34.956790",2.953264,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:35.956687",3.953161,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:36.957248",4.953722,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:37.956566",5.95304,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:38.957950",6.954424,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:39.956703",7.953177,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:40.957214",8.953688,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:41.958902",9.955376,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:43.456706",11.45318,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:44.456865",12.453339,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:45.456533",13.453007,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:46.456331",14.452805,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:47.457276",15.45375,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:48.457211",16.453685,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:49.457282",17.453756,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:50.457366",18.45384,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:51.456921",19.453395,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:52.457057",20.453531,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:53.457213",21.453687,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:54.456737",22.453211,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:55.457288",23.453762,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:56.457073",24.453547,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:57.456704",25.453178,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:58.457358",26.453832,1,9,9000,B,1,"(69,)"
"2020-01-19 20:53:59.457310",27.453784,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:00.457015",28.453489,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:01.456804",29.453278,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:02.457494",30.453968,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:03.457026",31.4535,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:04.456660",32.453134,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:05.457325",33.453799,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:06.457032",34.453506,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:07.458598",35.455072,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:08.456802",36.453276,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:09.457642",37.454116,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:10.457256",38.45373,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:11.456940",39.453414,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:12.457301",40.453775,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:13.457131",41.453605,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:14.458156",42.45463,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:15.457498",43.453972,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:16.456824",44.453298,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:17.456671",45.453145,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:18.457505",46.453979,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:19.457832",47.454306,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:20.456679",48.453153,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:21.457002",49.453476,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:22.457339",50.453813,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:23.457442",51.453916,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:24.457801",52.454275,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:25.456946",53.45342,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:26.458889",54.455363,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:27.956897",55.953371,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:28.959763",56.956237,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:29.956634",57.953108,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:30.962042",58.958516,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:31.957487",59.953961,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:32.956940",60.953414,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:33.961774",61.958248,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:34.956649",62.953123,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:35.957568",63.954042,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:36.957521",64.953995,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:37.956969",65.953443,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:38.957522",66.953996,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:39.956887",67.953361,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:40.957605",68.954079,1,9,9000,B,1,"(69,)"
"2020-01-19 20:54:41.957515",69.953989,1,9,9000,B,1,"(69,)"
